63,By the Garden Table,1882,Location unknown,," carton, oil","58 x 46,5",63.jpg
64,Akerselva by Slåmotgangen,1882,Private collection,," carton, oil","27,5 x 39",64.jpg
65,Inger by the Window,1882,Private collection,," carton, oil","39 x 27,5",65.jpg
66,Akerselva by Nedre Foss,1882,Location unknown,," carton, oil","38,5 x 60,5",66.jpg
67,Akerselva,1882,"Munch Museum, Oslo, Norway",,"unprimed carton, oil",24 x 31,67.jpg
68,Birch Trees with Woman Walking,1882,Location Unknown,," carton, oil","29,5 x 22",68.jpg
69,Birch Trees in the Autumn,1882,Private collection,," carton, oil",39 x 31,69.jpg
70,From Vestre Aker,1882,Location unknown,," carton, oil","29,5 x 25,5",70.jpg
71,Birch Trees and Man Carrying Twigs,1882,Location unknown,,?,36 x 29,71.jpg
72,Autumn in Vestre Aker,1882,Private collection,," carton, oil","28 x 22,5",72.jpg
73,Woman on a Country Lane,1882,Private collection,," carton, oil","31,5 x 24,5",73.jpg
74,Two Boys on a Country Lane,1882,Location unknown,," carton, oil",32 x 25,74.jpg
75,Thorvald Torgersen,1882,"National Gallery, Oslo, Norway",," carton, oil","35,5 x 28",75.jpg
76,Thorvald Torgersen,1882,Private collection,," carton, oil","38 x 28,5",76.jpg
77,Head of a Boy,1882–83,"Katharina and Nathan Bernstein, New York",," carton, oil",40 x 27,77.jpg
78,Andreas Reading,1882–83,Location unknown,,"unprimed carton, oil",57 x 48,78.jpg
79,Andreas Reading,1882–83,Location unknown,," carton, oil",36 x 29,79.jpg
80,Andreas Reading,1882–83,"National Gallery, Oslo, Norway",," carton, oil","51,5 x 35,5",80.jpg
81,Self-Portrait,1882–83,"Oslo City Museum, Norway",,"unprimed carton, oil","43,5 x 35,5",81.jpg
82,Drive at Vaterland,1882–83,"Munch Museum, Oslo, Norway",," carton, oil","47 x 63,5",82.jpg
83,From Saxegårdsgate,1882?,"Lillehammer Art Museum, Norway. Oscar Johannessen's collection",," carton, oil","35,5 x 55",83.jpg
84,Laura Munch,1883,"Munch Museum, Oslo, Norway",,"canvas, oil",26 x 21,84.jpg
85,Otto Linthoe,1883,"Munch Museum, Oslo, Norway",,"unprimed carton, oil","62,5 x 49,5",85.jpg
86,Study of a Man's Head,1883,Private Collection,,"canvas, oil",45 x 32,86.jpg
87,Study of an Old Man's Head,1883,"Private collection, Switzerland",,"canvas, oil",44 x 35,87.jpg
88,Head of an Old Man with Beard,1883,Private collection,," carton, oil",46 x 33,88.jpg
89,Study of an Old Man's Head,1883,Burton Kassell,,"canvas, oil",35 x 24,89.jpg
90,Afternoon at Olaf Rye's Square,1883,"Moderna Museet, Stockholm",," carton, oil","47,5 x 25,5",90.jpg
91,"Street Corner on Karl Johan, Grand Café",1883,"Munch Museum, Oslo, Norway",,"canvas, oil",36 x 28,91.jpg
92,Christian Munch on the Couch,1883,"Munch Museum, Oslo, Norway",,"canvas, oil","38,5 x 32,5",92.jpg
93,Landscape from Asker,1883–84,Location unknown,," carton, oil",37 x 62,93.jpg
94,Autumn in Asker,1883–84,Location unknown,," carton, oil",37 x 62,94.jpg
95,Andreas by the Window,1883,"The Art Museums in Bergen, Norway. Bergen Art Museum (Rasmus Meyer's collection)",,"unprimed canvas, oil",50 x 41,95.jpg
96,Andreas Reading,1883,Private collection,,"canvas, oil","25,5 x 31",96.jpg
97,The Dome of Trinity Church,1883–84,Private Collection,," carton, oil","45,5 x 23,5",97.jpg
98,Study of a Head,1883,"National Gallery, Oslo, Norway",,"canvas, oil","60,5 x 46,5",98.jpg
99,Early in the Morning,1883,Private Collection,,"canvas, oil","96,5 x 66",99.jpg
100,Andreas Singdahlsen,1883,"Munch Museum, Oslo, Norway",,"canvas, oil",45 x 34,100.jpg
101,Hjalmar Borgstrøm,1883,Private Collection,,"canvas, oil","24,5 x 20",101.jpg
102,Portrait of a Woman,1883–84,Location unknown,,"canvas, oil","37,5 x 27,5",102.jpg
103,Karen Bjølstad in the Rocking Chair,1883,"Munch Museum, Oslo, Norway",,"canvas, oil","47,5 x 41",103.jpg
104,Around the Paraffin Lamp,1883,"National Gallery, Oslo, Norway",,"wood panel, oil","27 x 39,5",104.jpg
105,At the Coffee Table,1883,"Munch Museum, Oslo, Norway",,"canvas, oil","45 x 77,5",105.jpg
106,At Supper,1883–84,"Munch Museum, Oslo, Norway",,"canvas, oil","49 x 59,5",106.jpg
107,The Infirmary at Helgelandsmoen,1884,"Munch Museum, Oslo, Norway",," carton, oil","67 x 58,5",107.jpg
108,Fence in the Forest,1884,Location unknown,,"canvas, oil","36,5 x 51,5",108.jpg
109,Two People on the Way to the Forest,1884,Private collection,,"canvas, oil","46 x 55,5",109.jpg
110,Morning,1884,"The Art Museums in Bergen, Norway. Bergen Art Museum (Rasmus Mayer's collection)",,"canvas, oil","96,5 x 103,5",110.jpg
111,Christian Munch,1884,Private collection,," carton, oil",46 x 34,111.jpg
112,Portrait Studies,1884?,Location unknown,," carton, oil",46 x 34,112.jpg
113,Inger Munch in Black,1884,"National Gallery, Oslo, Norway",,"canvas, oil",97 x 67,113.jpg
114,Street in Winter,1885,Private collection,,"canvas, oil",38 x 28,114.jpg
115,Ball,1885,Private collection,,"panel, oil",29 x 39,115.jpg
116,Tête-à-tête,1885,"Munch Museum, Oslo, Norway",,"canvas, oil",66 x 76,116.jpg
117,Karl Johan,1885–86,"Paleet, Oslo, Norway",," carton, oil","38 x 42,5",117.jpg
118,Girl's Head,1885,Private collection,,"canvas, oil",34 x 28,118.jpg
119,Dagny Konow,1885,"Blomqvist Art Dealer, Oslo, Norway",,"canvas, oil",50 x 35,119.jpg
120,Study of an Old Man's Head,1885–86,"Stenersen Museum, Oslo, Norway. A gift from Rolf E. Stenersen to the city of Oslo",,"unprimed canvas, oil","31,5 x 22",120.jpg
121,Fredrik Lidemark,1885,Private collection,,"canvas, oil",198 x 110,121.jpg
122,Karl Jensen-Hjell,1885,Private collection,,"canvas, oil",190 x 100,122.jpg
123,Klemens Stang,1885–86,"Sørlandets Art Museum, Kristiansand, Norway",,"canvas, oil","87,5 x 67,5",123.jpg
124,Christian Munch with Pipe,1885,"Munch Museum, Oslo, Norway",,"canvas, oil","37,5 x 28",124.jpg
125,Karen Bjølstad,1885–86,"The Art Museums in Bergen, Norway. Bergen Art Museum (Rasmus Meyer's collection)",,"canvas, oil","29 x 22,2",125.jpg
126,Jørgen Sørensen,1885,"National Gallery, Oslo, Norway",,"canvas, oil",36 x 31,126.jpg
127,Andreas Munch,1885,Private Collection,,"canvas, oil","40 x 28,5",127.jpg
128,Cabaret,1885–86,"Stenersen Museum, Oslo, Norway. A gift from Rolf E. Stenersen to the city of Oslo",," carton, oil",60 x 44,128.jpg
129,The Sickroom,1885–86,"Stenersen Museum, Oslo, Norway. A gift from Rolf E. Stenersen to the city of Oslo",," carton, oil",60 x 44,129.jpg
130,The Sick Child,1885–86,"National Gallery, Oslo, Norway",,"canvas, oil","120 x 118,5",130.jpg
131,Red-Haired Girl with White Rat,1886,Kunstmuseum Basel – on permanently loan from Die Freunde der Kunstmuseums und des Museums für Gegenwartskunst Basel,,"canvas, oil","38,5 x 22,5",131.jpg
132,Girl on the Piano,1886,"Munch Museum, Oslo, Norway",,"canvas, oil","36 x 31,5",132.jpg
133,Self-Portrait,1886,"National Gallery, Oslo, Norway",,"canvas, oil","33 x 24,5",133.jpg
134,Andreas Munch Studying Anatomy,1886,"Munch Museum, Oslo, Norway",,"unprimed carton, oil","62 x 74,5",134.jpg
135,Afternoon Nap,1886,"Munch Museum, Oslo, Norway",,"unprimed canvas, oil",35 x 48,135.jpg
136,Boat with Three Boys,1886?,"Munch Museum, Oslo, Norway",,"canvas, oil",50 x 63,136.jpg
137,Man on the Veranda,1886,"Kreeger Museum, Washington, DC. USA",,"canvas, oil",32 x 19,137.jpg
138,From Hisøya near Arendal,1886,Location unknown,,"canvas, oil","42,5 x 63",138.jpg
139,Woman and Children in Arendal,1886,Private collection,,"canvas, oil",31 x 52,139.jpg
140,Thorvald Torgersen,1886,"Stenersen Museum, Oslo, Norway. A gift from Rolf E. Stenersen to the city of Oslo",,"canvas, oil",100 x 68,140.jpg
141,Puberty,1886,Lost in fire,lost,?,?,
142,The Day After,1886–89,Lost in a fire in 1890,lost,?,?,
143,Seated Young Girl,Approx. 1887,Private collection,," carton, oil","32 x 20,5",143.jpg
144,Betzy Nilsen,1887,Stolen from the National Gallery of Norway in 1993,,"canvas, oil","25,5 x 29",144.jpg
145,Halvard Stub Holmboe,1887,The Art Museums in Bergen. Bergen Art Museum (Rasmus Meyer's collection),,"canvas, oil",75 x 59,145.jpg
146,Jacob Torkildsen,Approx. 1887,"Stenersen Museum, Oslo, Norway. A gift from Rolf E. Stenersen to the city of Oslo",,"canvas, oil","45,5 x 33,5",146.jpg
147,Forest Landscape with Small Lake,1887,Private collection,,"canvas, oil",33 x 52,147.jpg
148,Veierland near Tønsberg,1887,"National Gallery, Oslo, Norway",,"canvas pasted on carton, oil","66,5 x 44",148.jpg
149,Two Men by the Window,Approx. 1887,Private collection,," carton, oil","15,5 x 23,5",149.jpg
150,Law,1887,Private collection,,"canvas, oil","82 x 125,5",150.jpg
151,Kristiania Bohemians,1887–88,Lost in a fire in 1907,lost,?,?,
152,Self-Portrait,1888?,"Munch Museum, Oslo, Norway",,"canvas, oil","77,5 x 52",152.jpg
153,Marius Selmer,1888,Location unknown,,"canvas, oil",34 x 23,153.jpg
154,Bendix Lange,1888,Private collection,,"canvas, oil","32,5 x 23",154.jpg
155,Beach,1888,"Munch Museum, Oslo, Norway",,"canvas, oil",38 x 47,155.jpg
156,The Tønsberg Fjord,1888,Private collection,,"canvas, oil","38,5 x 49",156.jpg
157,On the Pier,1888,Location unknown,,"canvas, oil",40 x 59,157.jpg
158,Man Binding Fishnet,1888,"Christian Mustad, Switzerland",,"canvas, oil",55 x 81,158.jpg
159,Karen Bjølstad,1888,"Munch Museum, Oslo, Norway",,"canvas, oil","454,5 x 36,5",159.jpg
160,Evening,1888,Private collection,,"canvas, oil",37 x 74,160.jpg
161,Summer Day on the Pier,1888,Private collection,,"canvas, oil","45,5 x 31",161.jpg
162,Laura and Inger in the Summer Sun,1888,Private collection,,"canvas, oil","84,5 x 62",162.jpg
163,Evening,1888,"Museo Thyssen-Bornemisza, Madrid, Spain",,"canvas, oil","75 x 100,5",163.jpg
164,Inger in Sunshine,1888,"The Art Museums in Bergen, Norway. Bergen Art Museum (Rasmus Meyer's collection)",,"unprimed carton, oil",73 x 46,164.jpg
165,At the General Store in Vrengen,1888,"Lillehammer Art Museum, Norway. Oscar Johannessen's collection",," carton, oil",45 x 69,165.jpg
166,Andreas Bjølstad,1888,"Munch Museum, Oslo, Norway",,"unprimed carton, oil","56,5 x 37",166.jpg
167,Aasta Carlsen,1888–89,"Munch Museum, Oslo, Norway",,"canvas, oil","46 x 30,5",167.jpg
168,Man Standing in the Doorway,1889,Erik M. Vik,,"canvas, oil",55 x 35,168.jpg
169,Karl Dørnberger,1889,"Museum der bildenden Künste, Leipzig, Germany",,"canvas, oil","133,5 x 91,5",169.jpg
170,Charlotte Dørnberger,1889,Private collection,,"canvas, oil","47,5 x 35,3",170.jpg
171,Georg Stang,1889,"Epstein Family Collection, Washington DC, USA",,"canvas, oil",90 x 59,171.jpg
172,John Hazeland on his Deathbed,1889,Private collection,,"canvas, oil",54 x 81,172.jpg
173,Spring,1889,"National Gallery, Oslo, Norway",,"canvas, oil","169,5 x 263,5",173.jpg
174,Hans Jæger,1889,"National Gallery, Oslo, Norway",,"canvas, oil",109 x 84,174.jpg
175,From Karl Johan,1889,"Munch Museum, Oslo, Norway",,"canvas, oil","50,5 x 82",175.jpg
176,Music on Karl Johan,1889,"Kunsthaus Zürich, Switzerland",,"canvas, oil","101,5 x 140,5",176.jpg
177,Beach Landscape from Åsgårdstrand,1889,"Private collection, Bermuda",,"canvas, oil",63 x 78,177.jpg
178,Beach,1889,Private collection,,"canvas, oil","55 x 75,5",178.jpg
179,From Åsgårdstrand,1889,Location unknown,,"unprimed wood panel, oil","25 x 35,5",179.jpg
180,Beach Landscape,1889,"Wallraf-Richartz Museum, Cologne, Germany. Fondation Corboud",,"unprimed wood panel, oil",25 x 35,180.jpg
181,Shore,1889,Private collection,,"unprimed wood panel, oil","35,5 x 24",181.jpg
182,Summer Night. Inger on the Beach,1889,The Art Museums in Bergen. Bergen Art Museum (Rasmus Meyer's collection),,"canvas, oil","126,5 x 161,5",182.jpg
183,Summer Evening,1889,"Statens Museum for Kunst, Copenhagen, Denmark",,"canvas, oil",150 x 195,183.jpg
184,Summer,1889,"Stenersen Museum, Oslo, Norway. A gift from Rolf E. Stenersen to the city of Oslo",,"canvas, oil",54 x 39,184.jpg
185,Summer in Åsgårdstrand,1889,Location unknown,,"wood panel, oil","26,5 x 35",185.jpg
186,Morten Damme's House near Åsgardstrand,1889,"Private collection, USA",,"canvas, oil",43 x 68,186.jpg
187,Standing Female Nude,1889?,"Stenersen Museum, Oslo, Norway. A gift from Rolf E. Stenersen to the city of Oslo",,"canvas, oil",60 x 33,187.jpg
188,A French Tavern (Two Men and a Woman),1890,Lost in a fire in the autumn of 1890,lost,?,?,
189,The Canal near Paris (with a Small Streamboat),1890,Lost in a fire in the autumn of 1890,lost,?,?,
190,A Woman (in Half-figure) with Landscape (Returned from Victoria terrasse),1890?,Lost in a fire in the autumn of 1890,lost,?,?,
191,A Small Beach Study,1890?,Lost in a fire on the autumn of 1890,lost,?,?,
192,Night in Saint-Cloud,1890,"National Gallery, Oslo, Norway",,"canvas, oil","64,5 x 54",192.jpg
193,The Seine at Saint-Cloud,1890,"Frances Lehman Loeb Art Center, Vassar College, Poughkeepsie, New York, USA",,"canvas, oil",61 x 50,193.jpg
194,The Seine at Saint-Cloud,1890,Location unknown,,pastel,?,194.jpg
195,The Seine at Saint-Cloud,1890,Private collection,,"canvas, oil",59 x 45,195.jpg
196,The Seine at Saint-Cloud,1890,Private collection,,"canvas, oil",61 x 47,196.jpg
197,The Seine at Saint-Cloud,1890,"Stenersen Museum, Oslo, Norway. A gift from Rolf E. Stenersen to the city of Oslo",,"unprimed carton, oil",35 x 27,197.jpg
198,The Seine at Saint-Cloud,1890,Private collection,," carton, oil",17 x 33,198.jpg
199,The Seine at Saint-Cloud,1890,Private collection,,"canvas, oil",24 x 41,199.jpg
200,The Seine at Saint-Cloud,1890,Private collection,,"wood panel, oil",19 x 33,200.jpg
201,The Seine at Saint-Cloud,1890,"Munch Museum, Oslo, Norway",,"canvas, oil","46,5 x 38",201.jpg
202,At the Wine Merchant's,1890,Private collection,,"paper, pastel","49,5 x 64,5",202.jpg
203,In the Bar,1890,"Städtische Galerie im Städelschen Kunstinstitut, Frankfurt am Main, Germany",,"canvas, oil","64,5 x 70,5",203.jpg
204,In the Café,1890,"Munch Museum, Oslo, Norway",,"canvas, oil","59,5 x 49,5",204.jpg
205,Norwegian Spring Landscape,1890,Location Unknown,,"canvas, oil","52,5 x 46",205.jpg
206,Landscape,1890,Location unknown,,"canvas, oil","47,5 x 39,5",206.jpg
207,The Streamboat Arrives,1890,Private collection,,"canvas, oil",98 x 130,207.jpg
208,Beach,1890,Private collection,,"canvas, oil","52,5 x 147,5",208.jpg
209,Spring Day on Karl Johan,1890,"The Art Museums in Bergen, Norway. Bergen Art Museum (Bergen Billedgalleri)",,"canvas, oil",80 x 100,209.jpg
210,Sunny Day in Åsgårdstrand,1890,Location unknown,,"canvas, oil","69,5 x 52",210.jpg
211,Garden Path,1890,Location unknown,,"wood panel, oil",35 x 25,211.jpg
212,Woman in Evening Landscape,1890,"Munch Museum, Oslo, Norway",,"canvas, oil","54 x 81,5",212.jpg
213,Landscape,1890,"The Art Museums in Bergen, Norway. Bergen Art Museum (Rasmus Meyer's collection)",,"canvas, oil","35 x 31,5",213.jpg
214,View from Hauketo,1890,Private collection,," carton, oil",21 x 33,214.jpg
215,View from Hauketo,1890,Location unknown,,"wood panel, oil","23 x 17,5",215.jpg
216,Landscape,1890,"Munch Museum, Oslo, Norway",,"canvas, oil",36 x 54,216.jpg
217,The Absinth Drinkers,1890,Private collection,,"canvas, pastel",58 x 96,217.jpg
218,Two Children,1890,Private collection,,"canvas, pastel","46,5 x 61,5",218.jpg
219,Under the Palm Trees in Nice,1891,Private collection,,"canvas, oil",55 x 46,219.jpg
220,Afternoon on the Promenade des Anglais,1891,Private collection,,"canvas, oil and wax pastel",54 x 73,220.jpg
221,Morning on the Promenade des Anglais,1891,Private collection,,"canvas, oil",65 x 106,221.jpg
222,Sunny Day in Nice,1891,Private collection,,"canvas, oil",65 x 54,222.jpg
223,Rooftops in Nice,1891,Location unknown,,"canvas, oil",27 x 35,223.jpg
224,Night in Nice,1891,"National Gallery, Oslo, Norway",,"canvas, oil",48 x 54,224.jpg
225,Fisherboy from Nice,1891,Private collection,,"canvas, oil and wax pastel",65 x 46,225.jpg
226,Fisherboy from Nice,1891–92,Location unknown,,"canvas, pastel and oil",72 x 48,226.jpg
227,Fisherboy from Nice,1891,Tina and Andrew Brozman's collection,,"paper applied to carton, pastel",40 x 51,227.jpg
228,Boy's Head,1891,Moss Kunstforening,,"paper, pastel",41 x 31,228.jpg
229,Young Woman in Blue,1891,Private collection,,"carton, pastel","76,5 x 56,5",229.jpg
230,Young Woman in Blue,1891,"The Art Museums in Bergen, Norway. Bergen Art Museum (Rasums Meyer's collection)",,"paper applied to carton, pastel","54,5 x 45",230.jpg
231,Model Scratching her Arm,1891,"Munch Museum, Oslo, Norway",,"canvas, wax pastel",73 x 59,231.jpg
232,Rue Lafayette,1891,"National Gallery, Oslo, Norway",,"canvas, oil",92 x 73,232.jpg
233,Rue de Rivoli,1891,"Fogg Art Museum, Harvard Art Museums, USA. A gift from Rudolf Serkin",,"canvas, oil",81 x 65,233.jpg
